Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região;Microrregião
SC;4202131;Bela Vista do Toldo;3421,954746;4629,101307;4719,195359;5803,386899;7183,851576;6752,47523;5962,923287;5367,409568;6593,048219;7517,08291;7318,376966;8097,292723;SUL;Canoinhas
SC;4202156;Belmonte;3659,411072;4169,50134;4428,929981;3951,868285;5764,326095;6404,490321;6284,398153;5862,466015;4861,809318;5156,999522;5414,277099;5420,827143;SUL;São Miguel do Oeste
SC;4202206;Benedito Novo;4666,086164;4716,329892;4794,160015;5144,01287;6008,95213;6891,043372;6599,326409;7249,759256;6403,119698;5679,10147;5585,538328;5592,324217;SUL;Blumenau
SC;4202305;Biguaçu;9357,374569;9973,61158;9678,839361;9032,618262;10201,33254;9286,125663;9322,934654;8885,240747;10870,68694;10156,57664;10316,87389;10257,19067;SUL;Florianópolis
SC;4202404;Blumenau;12308,1692;13029,92712;12048,06648;11500,17911;10829,60534;11045,10238;11301,48082;12078,17952;12781,00313;12916,80912;12383,11979;12923,63305;SUL;Blumenau
SC;4202438;Bocaina do Sul;7597,001567;8373,194165;8065,46408;8377,453614;7137,910767;5906,592018;6216,526648;5998,615574;6642,716719;6542,243255;7428,829177;8188,04456;SUL;Campos de Lages
SC;4202503;Bom Jardim da Serra;3836,561085;3841,50094;4673,536829;4342,593757;6152,704744;4599,119685;4949,883109;5809,170693;4916,169909;5921,358729;5247,345195;5705,197376;SUL;Campos de Lages
SC;4202537;Bom Jesus;4273,403028;4217,016695;4745,611294;4899,684271;8924,905829;8668,952768;7597,909672;7207,660217;8031,271353;8702,72215;11667,4537;8708,471704;SUL;Xanxerê
SC;4202578;Bom Jesus do Oeste;4007,398359;4363,134398;4249,532377;5029,906261;5808,317954;5992,81365;4854,027921;4352,270495;5423,994339;6798,989248;6519,39273;5719,688611;SUL;Chapecó
SC;4202602;Bom Retiro;4686,495984;5229,589397;8118,643516;7799,986216;7168,542291;6161,547456;6452,94067;6270,477682;5907,943531;6280,033469;6536,577006;7093,949238;SUL;Campos de Lages
SC;4202453;Bombinhas;6447,617417;7189,127628;5865,335208;5936,701215;6019,956494;5729,064696;6042,174669;6616,359256;6534,269756;6256,047207;6309,876389;6755,345498;SUL;Itajaí
SC;4202701;Botuverá;6686,638057;8682,137131;8515,745431;6601,628096;6823,36993;7764,614985;7691,598452;8500,511267;7616,198325;8536,011969;9014,470425;9377,134546;SUL;Blumenau
SC;4202800;Braço do Norte;6856,306874;7444,44794;6879,676673;7599,279963;7087,02222;8064,16522;7144,376176;6406,358363;7391,387121;7770,217558;8287,72763;8628,260152;SUL;Tubarão
SC;4202859;Braço do Trombudo;7827,773766;8812,194994;10088,94858;9555,732917;10435,84375;11938,84738;12193,423;11538,74388;13981,88268;16789,77783;11935,98688;14363,20918;SUL;Rio do Sul
SC;4202875;Brunópolis;4075,999264;4349,679407;5055,002285;5977,642718;7233,597952;6230,57246;5133,783833;5498,647072;5821,121971;6669,694638;6808,983595;7965,709596;SUL;Curitibanos
SC;4202909;Brusque;11243,16809;16444,25642;11298,52853;11266,68549;10935,28982;11708,20648;12077,34467;12653,29955;12178,96118;11993,62665;11482,06959;12453,45254;SUL;Blumenau
SC;4203006;Caçador;6884,439083;7267,806578;8271,605985;8133,961611;8804,698551;9089,729424;8917,565166;9159,610529;9588,893594;9160,077399;8937,896356;9657,533653;SUL;Joaçaba
SC;4203105;Caibi;3993,315287;5298,147423;5430,990057;5889,998191;7450,193906;7459,034872;6918,23031;7358,553993;7510,552114;7826,933278;7597,771521;7362,869718;SUL;Chapecó
