Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região
RS;4301602;Bagé;4748,537155;4771,062575;4796,154676;4800,823979;4797,37774;4847,250588;4726,535547;4712,448574;5098,535246;4998,8211;4995,147377;5466,555025;SUL
PA;1501105;Bagre;1572,862014;1695,632894;1462,968759;1382,720195;1256,917571;1092,211452;1154,505925;1317,414264;1061,101328;1083,816224;1085,087427;1055,093275;NORTE
PB;2501401;Baía da Traição;1639,92134;1659,42064;1937,182076;1861,422755;1763,041789;1806,429679;1831,907931;2213,063227;2119,378103;2062,069249;2208,609751;2309,160616;NORDESTE
RN;2401404;Baía Formosa;2601,543093;2417,575557;2592,733542;4978,047027;4897,46863;4944,125343;6659,616654;7491,145191;5855,038075;7747,559299;8496,291083;9901,217833;NORDESTE
BA;2902500;Baianópolis;2021,372611;2305,67031;2250,307613;2400,380414;2941,949441;3207,2769;2601,61978;2104,384127;2050,736428;2137,952646;2058,14287;2343,550413;NORDESTE
PA;1501204;Baião;2033,798308;1973,771115;2778,339614;2549,034453;2039,674129;1698,171291;1916,984408;2032,998581;1932,248056;1799,993023;1811,040858;1758,173137;NORTE
BA;2902609;Baixa Grande;1065,592768;1088,844544;1131,943579;1159,120351;1132,354943;1099,300665;1311,166356;1402,310735;1417,975235;1402,76928;1491,85941;1698,812392;NORDESTE
PI;2201150;Baixa Grande do Ribeiro;3011,82653;2987,18361;2074,339559;1777,940987;2966,183956;4300,859391;5064,092174;3159,99157;3384,047758;6469,106289;8384,058462;4156,771503;NORDESTE
CE;2301802;Baixio;1417,369575;1246,848647;1281,131295;1376,103542;1498,312606;1491,784302;1523,847854;1627,353471;1592,483197;1839,181943;1785,240303;1852,724062;NORDESTE
ES;3200805;Baixo Guandu;3354,978539;3661,702839;3356,976051;3561,570525;3404,661292;3530,371482;3541,793371;4023,014857;4158,748252;4036,164763;3805,172599;4260,105394;SUDESTE
SP;3504701;Balbinos;4076,043414;3710,366286;5607,140483;5862,48607;5558,684624;5528,59634;5652,268312;5949,9051;2553,108802;2370,804068;2369,835424;3073,488391;SUDESTE
