Regiao;Ano;PIB corrente;POPU;Deflat2013;PIBreal;PIBrealpercapita
Itajaí;2010;17671387;570947;0,827811912;21347104,02;37388,94
Itajaí;2011;20928329;583695;0,885498294;23634522,11;40491,22
Itajaí;2012;24220797;596034;0,92915511;26067549,68;43735
Itajaí;2013;27492345;633350;1;27492345;43407,82
Ituporanga;2010;1015150;55763;0,827811912;1226305,137;21991,38
Ituporanga;2011;1036790;56107;0,885498294;1170854,882;20868,25
Ituporanga;2012;1288105;56444;0,92915511;1386318,588;24560,96
Ituporanga;2013;1469425;58091;1;1469425;25295,23
Tijucas;2010;1744544;91907;0,827811912;2107415,917;22929,87
Tijucas;2011;1887144;93598;0,885498294;2131166,162;22769,36
Tijucas;2012;2080113;95238;0,92915511;2238714,481;23506,53
Tijucas;2013;2449966;100444;1;2449966;24391,36
Florianópolis;2010;21028334;878260;0,827811912;25402309,02;28923,45
Florianópolis;2011;24088434;891123;0,885498294;27203252,87;30526,93
Florianópolis;2012;26655971;903568;0,92915511;28688397,35;31750,13
Florianópolis;2013;29264435;946036;1;29264435;30933,74
Tabuleiro;2010;369508;23928;0,827811912;446367,0969;18654,59
Tabuleiro;2011;365446;24030;0,885498294;412700,9646;17174,41
Tabuleiro;2012;390525;24132;0,92915511;420301,1916;17416,76
Tabuleiro;2013;502775;24738;1;502775;20324
Tubarão;2010;6679358;374859;0,827811912;8068690,366;21524,6
Tubarão;2011;7416955;377755;0,885498294;8376024,045;22173,17
Tubarão;2012;8327489;380567;0,92915511;8962431,469;23550,21
Tubarão;2013;9566399;392934;1;9566399;24346,07
Criciúma;2010;7488344;369398;0,827811912;9045948,591;24488,35
Criciúma;2011;8803854;372777;0,885498294;9942259,7;26670,8
Criciúma;2012;9387871;376053;0,92915511;10103663,96;26867,66
Criciúma;2013;10719374;389413;1;10719374;27527,01
Araranguá;2010;2730087;180808;0,827811912;3297955,683;18240,1
Araranguá;2011;2953284;182393;0,885498294;3335166,223;18285,6
Araranguá;2012;3328198;183931;0,92915511;3581961,68;19474,49
Araranguá;2013;3674638;190312;1;3674638;19308,49
