"Tabela 1193 - Produto Interno Bruto per capita, a preços de 1995"
"Brasil"
"Variável";"Produto Interno Bruto per capita (Reais)"
"Ano"
"2012";"2013";"2014";"2015"
5991;6116;6070;5788
"Nota:

1 - Valores a preços de 1995.

2 - A variação dos valores do PIB com relação a publicação anterior, se deve às revisões feitas periodicamente."
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Contas Nacionais. Disponível em: <http://seriesestatisticas.ibge.gov.br/series.aspx?no=12&op=0&vcodigo=ST18&t=produto-interno-brutobrvalores-constantes-1995>. Acesso em: jan. 2016. Coordenação de População e Indicadores Sociais. Disponível em: <ftp://ftp.ibge.gov.br/Projecao_da_Populacao/Projecao_da_Populacao_2013/projecoes_2013_populacao_xls.zip>. Acesso em: mar. 2016"
