Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010;;;;;;
Variável;Produto Interno Bruto a preços correntes (Mil Reais);;;;;
Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica;Ano;PIB corrente;POPU;Deflat2013;PIBreal;PIBrealpercapita
Rio do Sul - SC;2013;5407387;215329;1;5407387; 25.112,21 
Blumenau - SC;2010;19875957;  677 376 ;0,827811912;24010233,13;#VALOR!
Blumenau - SC;2011;22274011;687342;0,885498294;25154211,09; 36.596,35 
Blumenau - SC;2012;24263453;696990;0,92915511;26113458,06; 37.466,04 
Blumenau - SC;2013;26419371;729835;1;26419371; 36.199,10 
Itajaí - SC;2010;17671387;  570 947 ;0,827811912;21347104,02;#VALOR!
Itajaí - SC;2011;20928329;583695;0,885498294;23634522,11; 40.491,22 
Itajaí - SC;2012;24220797;596034;0,92915511;26067549,68; 43.735,00 
Itajaí - SC;2013;27492345;633350;1;27492345; 43.407,82 
Ituporanga - SC;2010;1015150;  55 763 ;0,827811912;1226305,137;#VALOR!
Ituporanga - SC;2011;1036790;56107;0,885498294;1170854,882; 20.868,25 
Ituporanga - SC;2012;1288105;56444;0,92915511;1386318,588; 24.560,96 
Ituporanga - SC;2013;1469425;58091;1;1469425; 25.295,23 
Tijucas - SC;2010;1744544;  91 907 ;0,827811912;2107415,917;#VALOR!
Tijucas - SC;2011;1887144;93598;0,885498294;2131166,162; 22.769,36 
Tijucas - SC;2012;2080113;95238;0,92915511;2238714,481; 23.506,53 
Tijucas - SC;2013;2449966;100444;1;2449966; 24.391,36 
Florianópolis - SC;2010;21028334;  878 260 ;0,827811912;25402309,02;#VALOR!
Florianópolis - SC;2011;24088434;891123;0,885498294;27203252,87; 30.526,93 
Florianópolis - SC;2012;26655971;903568;0,92915511;28688397,35; 31.750,13 
Florianópolis - SC;2013;29264435;946036;1;29264435; 30.933,74 
Tabuleiro - SC;2010;369508;  23 928 ;0,827811912;446367,0969;#VALOR!
Tabuleiro - SC;2011;365446;24030;0,885498294;412700,9646; 17.174,41 
Tabuleiro - SC;2012;390525;24132;0,92915511;420301,1916; 17.416,76 
Tabuleiro - SC;2013;502775;24738;1;502775; 20.324,00 
Tubarão - SC;2010;6679358;  374 859 ;0,827811912;8068690,366;#VALOR!
Tubarão - SC;2011;7416955;377755;0,885498294;8376024,045; 22.173,17 
Tubarão - SC;2012;8327489;380567;0,92915511;8962431,469; 23.550,21 
Tubarão - SC;2013;9566399;392934;1;9566399; 24.346,07 
Criciúma - SC;2010;7488344;  369 398 ;0,827811912;9045948,591;#VALOR!
Criciúma - SC;2011;8803854;372777;0,885498294;9942259,7; 26.670,80 
Criciúma - SC;2012;9387871;376053;0,92915511;10103663,96; 26.867,66 
Criciúma - SC;2013;10719374;389413;1;10719374; 27.527,01 
Araranguá - SC;2010;2730087;  180 808 ;0,827811912;3297955,683;#VALOR!
Araranguá - SC;2011;2953284;182393;0,885498294;3335166,223; 18.285,60 
Araranguá - SC;2012;3328198;183931;0,92915511;3581961,68; 19.474,49 
Araranguá - SC;2013;3674638;190312;1;3674638; 19.308,49 
"Nota:

1 - Os dados do último ano disponível estarão sujeitos a revisão quando da próxima divulgação.";;;;;;#DIV/0!
Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA;;;;;;#DIV/0!
